Universitas	Provinsi	Kota	Program Studi	Bidang Ilmu	Jenjang	Daya Tampung 2026	Peminat 2025	Peminat 2025 (Num)	Rasio	Situs
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK PERTANIAN	TEKNIK PERTANIAN	Sarjana	49	268	268	1:6	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN BIOLOGI	PENDIDIKAN BIOLOGI	Sarjana	42	224	224	1:6	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN MATEMATIKA	PENDIDIKAN MATEMATIKA	Sarjana	42	186	186	1:5	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN FISIKA	PENDIDIKAN FISIKA	Sarjana	42	53	53	1:2	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN KIMIA	PENDIDIKAN KIMIA	Sarjana	42	70	70	1:2	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN DOKTER	KEDOKTERAN	Sarjana	88	1882	1882	1:22	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	ILMU KEPERAWATAN	KEPERAWATAN	Sarjana	126	1299	1299	1:11	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN DOKTER GIGI	KEDOKTERAN GIGI	Sarjana	35	969	969	1:28	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	MATEMATIKA	MATEMATIKA	Sarjana	28	79	79	1:3	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	FISIKA	FISIKA	Sarjana	28	45	45	1:2	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	KIMIA	KIMIA	Sarjana	28	80	80	1:3	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	BIOLOGI	BIOLOGI	Sarjana	28	142	142	1:6	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	ILMU KELAUTAN	ILMU KELAUTAN	Sarjana	56	153	153	1:3	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	BUDIDAYA PERAIRAN	AKUAKULTUR	Sarjana	56	100	100	1:2	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK INDUSTRI	TEKNIK INDUSTRI	Sarjana	42	566	566	1:14	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	INFORMATIKA	TEKNIK INFORMATIKA	Sarjana	42	1295	1295	1:31	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	FARMASI	FARMASI	Sarjana	32	1406	1406	1:44	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK GEOFISIKA	TEKNIK GEOLOGI	Sarjana	28	116	116	1:5	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK PERTAMBANGAN	TEKNIK PERTAMBANGAN	Sarjana	42	966	966	1:23	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	STATISTIKA	STATISTIKA	Sarjana	42	262	262	1:7	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PEMANFAATAN SUMBERDAYA PERIKANAN	PERIKANAN	Sarjana	42	79	79	1:2	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	ILMU TANAH	AGROTEKNOLOGI	Sarjana	42	87	87	1:3	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK GEOLOGI	TEKNIK GEOLOGI	Sarjana	28	264	264	1:10	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	AGROTEKNOLOGI (PSDKU GAYO LUES)	AGROTEKNOLOGI	Sarjana	14	15	15	1:2	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES)	PENDIDIKAN BIOLOGI	Sarjana	14	9	9	1:1	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	KEHUTANAN (PSDKU GAYO LUES)	KEHUTANAN	Sarjana	21	19	19	1:1	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PROTEKSI TANAMAN	PROTEKSI TANAMAN	Sarjana	28	55	55	1:2	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PERENCANAAN WILAYAH DAN KOTA	PERENCANAAN WILAYAH DAN KOTA	Sarjana	42	415	415	1:10	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	KEHUTANAN	KEHUTANAN	Sarjana	42	218	218	1:6	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK KOMPUTER	TEKNIK INFORMATIKA	Sarjana	56	891	891	1:16	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	EKONOMI PEMBANGUNAN	ILMU EKONOMI	Sarjana	56	397	397	1:8	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	MANAJEMEN	MANAJEMEN	Sarjana	70	1306	1306	1:19	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	AKUNTANSI	AKUNTANSI	Sarjana	70	863	863	1:13	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	ILMU HUKUM	ILMU HUKUM	Sarjana	196	1826	1826	1:10	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN	PPKN	Sarjana	49	400	400	1:9	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN SEJARAH	SEJARAH	Sarjana	42	241	241	1:6	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN EKONOMI	PENDIDIKAN EKONOMI	Sarjana	56	190	190	1:4	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN GEOGRAFI	GEOGRAFI	Sarjana	56	184	184	1:4	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN BAHASA INDONESIA	PENDIDIKAN BAHASA INDONESIA	Sarjana	56	453	453	1:9	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN BAHASA INGGRIS	PENDIDIKAN BAHASA INGGRIS	Sarjana	56	471	471	1:9	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN SENI DRAMA TARI DAN MUSIK	SENI PERTUNJUKAN	Sarjana	42	111	111	1:3	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN KESEJAHTERAAN KELUARGA	PENDIDIKAN KESEJAHTERAAN KELUARGA	Sarjana	56	362	362	1:7	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PEND. JASMANI KESEHATAN DAN REKREASI	PENDIDIKAN JASMANI, KESEHATAN, DAN REKREASI	Sarjana	70	312	312	1:5	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	BIMBINGAN KONSELING	BIMBINGAN DAN KONSELING	Sarjana	53	1071	1071	1:21	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN GURU SEKOLAH DASAR	PENDIDIKAN GURU SEKOLAH DASAR	Sarjana	81	1066	1066	1:14	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PSIKOLOGI	PSIKOLOGI	Sarjana	28	700	700	1:25	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	ILMU POLITIK	ILMU POLITIK	Sarjana	61	197	197	1:4	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	SOSIOLOGI	SOSIOLOGI	Sarjana	47	186	186	1:4	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	ILMU KOMUNIKASI	ILMU KOMUNIKASI	Sarjana	63	780	780	1:13	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN GURU PAUD	PENDIDIKAN ANAK USIA DINI	Sarjana	49	309	309	1:7	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	ILMU PEMERINTAHAN	ADMINISTRASI PUBLIK	Sarjana	63	450	450	1:8	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	EKONOMI ISLAM	EKONOMI SYARIAH	Sarjana	56	321	321	1:6	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	MANAJEMEN (PSDKU GAYO LUES)	MANAJEMEN	Sarjana	28	10	10	1:1	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNOLOGI INDUSTRI HASIL PERIKANAN	TEKNOLOGI PERIKANAN	Sarjana	18	74	74	1:5	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	BISNIS DIGITAL	BISNIS DIGITAL	Sarjana	28	Prodi baru/tidak ada data	0	Prodi baru/tidak ada data	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK SUMBER DAYA AIR	TEKNIK SIPIL	Sarjana	21	Prodi baru/tidak ada data	0	Prodi baru/tidak ada data	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK PERMINYAKAN	TEKNIK PERTAMBANGAN	Sarjana	21	Prodi baru/tidak ada data	0	Prodi baru/tidak ada data	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK LINGKUNGAN	TEKNIK LINGKUNGAN	Sarjana	21	Prodi baru/tidak ada data	0	Prodi baru/tidak ada data	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	AKUNTANSI PERPAJAKAN	PERPAJAKAN	Sarjana Terapan	28	1648	1648	1:59	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	KESEHATAN HEWAN	TEKNOLOGI KESEHATAN	Diploma Tiga	11	446	446	1:41	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	MANAJEMEN AGRIBISNIS	AGRIBISNIS	Diploma Tiga	35	826	826	1:24	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK LISTRIK	TEKNIK ELEKTRO	Diploma Tiga	14	304	304	1:22	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	BUDIDAYA PETERNAKAN	PETERNAKAN	Diploma Tiga	21	416	416	1:20	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK MESIN	TEKNIK MESIN	Diploma Tiga	14	368	368	1:27	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK SIPIL	TEKNIK SIPIL	Diploma Tiga	28	848	848	1:31	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	SEKRETARI	ADMINISTRASI PERKANTORAN	Diploma Tiga	14	402	402	1:29	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	MANAJEMEN PERUSAHAAN	MANAJEMEN	Diploma Tiga	14	991	991	1:71	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	AKUNTANSI	AKUNTANSI	Diploma Tiga	28	981	981	1:36	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	KEUANGAN DAN PERBANKAN	KEUANGAN DAN PERBANKAN	Diploma Tiga	28	1194	1194	1:43	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	MANAJEMEN INFORMATIKA	SISTEM INFORMASI	Diploma Tiga	28	1539	1539	1:55	https://pmb.usk.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	TEKNIK SIPIL	TEKNIK SIPIL	Sarjana	132	262	262	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	TEKNIK MESIN	TEKNIK MESIN	Sarjana	120	221	221	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	TEKNIK KIMIA	TEKNIK KIMIA	Sarjana	100	126	126	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	TEKNIK ELEKTRO	TEKNIK ELEKTRO	Sarjana	80	151	151	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	TEKNIK INDUSTRI	TEKNIK INDUSTRI	Sarjana	100	379	379	1:4	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	TEKNIK INFORMATIKA	TEKNIK INFORMATIKA	Sarjana	118	562	562	1:5	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	TEKNIK ARSITEKTUR	ARSITEKTUR	Sarjana	60	73	73	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	AGROEKOTEKNOLOGI	AGROTEKNOLOGI	Sarjana	126	229	229	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	AGRIBISNIS	AGRIBISNIS	Sarjana	106	207	207	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	AKUAKULTUR	AKUAKULTUR	Sarjana	46	26	26	1:1	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	KEDOKTERAN	KEDOKTERAN	Sarjana	56	1230	1230	1:22	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	PENDIDIKAN FISIKA	PENDIDIKAN FISIKA	Sarjana	48	33	33	1:1	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	PENDIDIKAN KIMIA	PENDIDIKAN KIMIA	Sarjana	48	34	34	1:1	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	PENDIDIKAN MATEMATIKA	PENDIDIKAN MATEMATIKA	Sarjana	48	89	89	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	PENDIDIKAN VOKASIONAL TEKNIK MESIN	TEKNIK MESIN	Sarjana	30	21	21	1:1	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	SISTEM INFORMASI	SISTEM INFORMASI	Sarjana	80	203	203	1:3	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	ILMU KELAUTAN	ILMU KELAUTAN	Sarjana	46	47	47	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	TEKNIK MATERIAL	TEKNIK MATERIAL DAN METALURGI	Sarjana	40	44	44	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	TEKNIK LOGISTIK	LOGISTIK	Sarjana	40	46	46	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	MANAJEMEN	MANAJEMEN	Sarjana	166	379	379	1:3	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	AKUNTANSI	AKUNTANSI	Sarjana	130	236	236	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	ILMU EKONOMI & STUDI PEMBANGUNAN	ILMU EKONOMI	Sarjana	84	76	76	1:1	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	ADMINISTRASI PUBLIK	ADMINISTRASI PUBLIK	Sarjana	108	220	220	1:3	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	SOSIOLOGI	SOSIOLOGI	Sarjana	80	101	101	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	ILMU POLITIK	ILMU POLITIK	Sarjana	80	54	54	1:1	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	ANTROPOLOGI	ANTROPOLOGI	Sarjana	40	30	30	1:1	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	ILMU KOMUNIKASI	ILMU KOMUNIKASI	Sarjana	112	266	266	1:3	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	HUKUM	ILMU HUKUM	Sarjana	200	385	385	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	EKONOMI SYARIAH	EKONOMI SYARIAH	Sarjana	88	105	105	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	PSIKOLOGI	PSIKOLOGI	Sarjana	72	382	382	1:6	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	PENDIDIKAN BAHASA INDONESIA	PENDIDIKAN BAHASA INDONESIA	Sarjana	78	258	258	1:4	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	ADMINISTRASI BISNIS	ADMINISTRASI BISNIS	Sarjana	60	210	210	1:4	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	KEWIRUSAHAAN	KEWIRAUSAHAAN	Sarjana	54	72	72	1:2	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	PENDIDIKAN ILMU PENGETAHUAN ALAM	PENDIDIKAN IPA	Sarjana	24	Prodi baru/tidak ada data	0	Prodi baru/tidak ada data	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	PENDIDIKAN VOKASIONAL REKAYASA ELEKTRO	PENDIDIKAN ELEKTRO	Sarjana	24	Prodi baru/tidak ada data	0	Prodi baru/tidak ada data	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	BIOTEKNOLOGI	BIOTEKNOLOGI	Sarjana	36	Prodi baru/tidak ada data	0	Prodi baru/tidak ada data	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	PERENCANAAN WILAYAH DAN KOTA	PERENCANAAN WILAYAH DAN KOTA	Sarjana	24	Prodi baru/tidak ada data	0	Prodi baru/tidak ada data	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	TEKNIK LINGKUNGAN	TEKNIK LINGKUNGAN	Sarjana	24	Prodi baru/tidak ada data	0	Prodi baru/tidak ada data	http://pmb.unimal.ac.id/
UNIVERSITAS MALIKUSSALEH	Aceh	Kabupaten Aceh Utara	KEPERAWATAN	KEPERAWATAN	Diploma Tiga	46	953	953	1:21	http://pmb.unimal.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	TEKNIK SIPIL	TEKNIK SIPIL	Sarjana	65	118	118	1:2	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	TEKNIK MESIN	TEKNIK MESIN	Sarjana	55	131	131	1:3	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	TEKNIK INDUSTRI	TEKNIK INDUSTRI	Sarjana	55	135	135	1:3	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	AGRIBISNIS	AGRIBISNIS	Sarjana	60	104	104	1:2	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	AGROTEKNOLOGI	AGROTEKNOLOGI	Sarjana	58	60	60	1:2	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	PERIKANAN	PERIKANAN	Sarjana	30	50	50	1:2	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	KESEHATAN MASYARAKAT	KESEHATAN MASYARAKAT	Sarjana	80	329	329	1:5	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	AKUAKULTUR	AKUAKULTUR	Sarjana	28	17	17	1:1	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	SUMBER DAYA AKUATIK	PERIKANAN	Sarjana	27	26	26	1:1	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	TEKNOLOGI HASIL PERTANIAN	AGROINDUSTRI	Sarjana	60	55	55	1:1	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	ILMU KELAUTAN	ILMU KELAUTAN	Sarjana	27	17	17	1:1	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	TEKNOLOGI INFORMASI	TEKNIK INFORMATIKA	Sarjana	60	179	179	1:3	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	GIZI	GIZI	Sarjana	65	405	405	1:7	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	EKONOMI PEMBANGUNAN	ILMU EKONOMI	Sarjana	43	34	34	1:1	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	ILMU ADMINISTRASI NEGARA	ADMINISTRASI PUBLIK	Sarjana	75	148	148	1:2	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	SOSIOLOGI	SOSIOLOGI	Sarjana	60	112	112	1:2	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	ILMU KOMUNIKASI	ILMU KOMUNIKASI	Sarjana	70	102	102	1:2	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	MANAJEMEN	MANAJEMEN	Sarjana	80	191	191	1:3	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	AKUNTANSI	AKUNTANSI	Sarjana	75	125	125	1:2	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	ILMU HUKUM	ILMU HUKUM	Sarjana	80	131	131	1:2	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	PETERNAKAN	PETERNAKAN	Sarjana	30	29	29	1:1	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	BISNIS DIGITAL	BISNIS DIGITAL	Sarjana	48	118	118	1:3	https://pmb.utu.ac.id/
UNIVERSITAS TEUKU UMAR	Aceh	Kabupaten Aceh Barat	KESELAMATAN DAN KESEHATAN KERJA	KESELAMATAN DAN KESEHATAN KERJA	Sarjana	48	304	304	1:7	https://pmb.utu.ac.id/
